word,definition,sensation,facial expression,might be triggered by,is informing you
Happy,"A positive emotional state marked by joy, contentment, and an overall sense of well-being.","tingly, cheery, like you want to laugh, warm","smiley, laughing, raised cheeks","pleasurable things, jokes, humour","that you’re safe, secure, and feeling good"
Surprised,"A brief reaction to something unexpected; can feel pleasant, jarring, or somewhere in between.","brief sensation of shock and attentiveness, leading to another emotion","mouth slightly agape, sudden gasp","sudden events, unpredictable incidents",that something unexpected has occurred
Angry,"Strong displeasure or hostility arising from perceived injustice, threat, or frustration.","hot fire, warm within you. may burn","furrowed brows, gritted teeth, crossed expression","a feeling of injustice, infringements, violations","that your boundaries have been crossed, it may be time to defend yourself."
Bad,A vague sense of negativity or emotional unwellness without a single identifiable cause.,"leaden weight on chest, gaping hole","sickly, ill","traumatic events, traumatic memory",that something negative has happened and you may need to be grounded.
Disgusted,Strong aversion or moral disapproval toward something perceived as unpleasant or deeply wrong.,"aversion, nausea (desire to puke)","scrunched up expression, wrinkling nose","sensing something bad through sight, smell or even hearing ","that you may be feeling like your boundaries have been violated, or it is time to get away from whatever has triggered you. "
Sad,"Unhappiness or sorrow arising from loss, disappointment, or a sense of disconnection.","tightness of the chest, heaviness of the limbs, watery eyes","drooped eyelids, eyes looking down, lips pulled downward, tears",loss or rejection by someone or something,"that you are experiencing loss, rejection or grief."
Fearful,"Apprehension or anxiety about perceived danger, uncertainty, or potential harm ahead.","coldness, shortness of breath, sweating, trembling","distinctly raised eyebrows, eyes going wide, tensed lips","a threat of harm, real or imagined, upon your well-being","that it may be time to get away from something, or you may be afraid of what may happen next. "
Playful,"Lighthearted and drawn toward fun, humour, or imaginative expression.","energetic, desire to be free-spirited, motivation to do an activity","smiley, laughing, raised cheeks, hyperactivity",desire to have fun,"that you’re safe, secure, and able to express yourself."
Content,"A quiet, settled satisfaction with your current circumstances and inner state.","mild, steady sense of calm","neutral, slightly smiley",satisfaction with tasks,"that you’re safe, secure, and you do not need more."
Interested,An engaged curiosity that draws you toward exploring or learning something new.,"sense of curiosity, drawn attention at object or event","intent, focus. at times, someone may tilt their head to express interest or move closer",things that pique curiosity,"that you’re curious about something, and want to be engaged."
Proud,A satisfying sense of accomplishment or dignity in yourself or someone you love.,"happiness, joy, a desire to share accomplishment","smiley, hyperactive, at times talkative","accomplishment, dignity ",that you’ve accomplished something and you are satisfied.
Accepted,Feeling genuinely welcomed and valued as part of a group or relationship.,"mild, steady sense of calm in a large group; feeling warm and fuzzy (loved)","smiley, intent to listen. may be focused. more able to communicate and talk",contentment in a social context,that you feel safe and secure
Powerful,A sense of inner strength and confidence in your ability to shape your environment.,"energetic, motivated","joy, mixed with intent. potential hyperactivity",positive events building confidence,that you feel able to change the things around you.
Peaceful,"A calm, undisturbed inner stillness, free from conflict or worry.","mild, steady sense of calm","placid, neutral, slightly smiley ",not much happening for a while — especially long periods of nothing negative happening ,"that you feel safe, secure, and able to relax. "
Trusting,A feeling of safety and openness that allows vulnerability with others.,"mild, steady sense of calm. may come with underlying emotion in another nature","neutral, with intent to listen or to speak. lacking in fear or anxiety",knowledge that people around you will do no harm,that you feel safe and secure with the people around you.
Optimistic,"A hopeful belief that positive outcomes are likely, even amid difficulty.","happiness, joy, warmth. hopefulness ","joy, mixed with potential intent or interest.",knowledge that things will be better in the future,that you feel happy and hopeful about the future.
Startled,"A sudden, involuntary fright caused by something unexpected in your environment.",brief sensation of shock,"mouth slightly agape, sudden gasp","sudden, unexpected event",that something unexpected has occurred and you need to prepare.
Confused,"Uncertainty and lack of clarity about a situation, decision, or piece of information.",trouble understanding something or someone,"intent. at times, someone may tilt their head to express interest or move closer. comes with an underlying negative emotion","sudden, unexpected event that one does not understand",that something unexpected has occurred and you need to understand what it is. 
Amazed,A feeling of wonder or astonishment at something remarkable or hard to explain.,"tingling, wide-eyed alertness, slight breathlessness","raised brows, open mouth, wide eyes",witnessing something extraordinary or unexpected,that something wondrous has occurred
Excited,"An energized, eager anticipation directed at something pleasurable or new.","racing heart, energy surge, restlessness","wide smile, bright eyes, raised brows",anticipation of something desired or pleasurable,"that something that you want to happen, or that pleases you, has occurred."
Let down,Disappointment or betrayal felt when someone or something failed to meet your expectations.,"heaviness in chest, deflation, low energy","downturned mouth, dull eyes, slumped posture",unmet expectations from people or events,"that something that you expected to happen did not happen, and you feel bad."
Humiliated,"Deep shame from being degraded or mocked, especially in front of others.","hot flush, shrinking feeling, stomach drop","reddened cheeks, averted gaze, pursed lips",public shaming or mockery by others,that you have been violated and feel unsafe as a person.
Bitter,A lingering resentment born from past hurts that feels difficult to release.,"tight jaw, cold simmering tension, inner hardness","narrowed eyes, tight lips, slight sneer",prolonged resentment over perceived unfairness,that you feel angry and that an injustice has been wrought on you. 
Mad,"An intense, consuming anger that can feel out of control or disproportionate.","heat rising, clenched muscles, rapid heartbeat","furrowed brows, flared nostrils, tight jaw","injustice, betrayal, or persistent frustration",that you feel angry and that an injustice has been wrought on you. 
Aggressive,"An urge to confront, dominate, or use force in response to a perceived threat.","surging energy, muscle tension, raised adrenaline","intense glare, clenched jaw, forward lean","threats to self, territory, or loved ones",that you need to defend yourself against injustice
Frustrated,"Feeling blocked from a goal despite effort, leading to irritation and inner tension.","tightness in head and chest, blocked energy","furrowed brows, pressed lips, tense face",repeated obstacles blocking a desired goal,that something is preventing you from reaching an endpoint that you desire
Distant,An emotional withdrawal and detachment from others or from your own inner life.,"numbness, hollowness, sense of disconnection","blank stare, little expression, flat affect",emotional overload or relational disconnection,"that you feel overloaded and need time away, or to process."
Stressed,Overwhelmed by demands or pressures that exceed your current capacity to cope.,"tension in neck and shoulders, racing mind","furrowed brows, tight jaw, pinched expression","excessive demands, deadlines, or uncertainty",that you feel a lot of tension from recent events
Tired,Physical or mental exhaustion that diminishes your energy and motivation.,"heavy limbs, drooping eyelids, low energy","half-closed eyes, slack jaw, slow blinking","insufficient rest, sustained effort, or illness",that you need to rest
Bored,Restless disengagement and a lack of stimulation or meaningful activity.,"restlessness, low arousal, wandering attention","glazed eyes, slack expression, frequent yawning","repetitive, unchallenging, or unstimulating activities",that you need to find something to do
Busy,"Overwhelmed by a heavy load of tasks, with too little time or energy.","scattered attention, quickened pace, slight tension","focused, slightly distracted, hurried expression",multiple competing demands on time and attention,"that you need to prioritise, or to rest"
Critical,A disposition to notice and judge faults in others or situations harshly.,"mental alertness, slight tension, judgmental inner voice","narrowed eyes, pursed lips, slightly raised chin","perceived flaws, mistakes, or lowered standards",that you feel a certain way about the subject at hand; that you may wish to express how you feel
Disapproving,Feeling that something is wrong or unacceptable based on your values or standards.,"mild tension, internal resistance, moral discomfort","frown, raised brow, slightly turned-away head",witnessing behaviour that conflicts with your values,that you do not agree with the actions or events that are taking place
Disappointed,"A letdown when reality falls short of what you hoped, expected, or wanted.","heaviness in chest, deflation, low energy","downturned mouth, lowered eyes, slumped posture",expectations of people or outcomes not being met,that you do not want what happened to have happened
Awful,"An intense, hard-to-name feeling of distress or badness that feels overwhelming.","deep unease, nausea, heavy dread throughout body","pale, pained expression, pursed or trembling lips","severe distress, trauma, or terrible news",that you feel pained at what occurred
Repelled,A strong impulse to pull away from something deeply unpleasant or threatening.,"physical recoil, nausea, strong urge to retreat","scrunched nose, curled lip, averted gaze",something deeply offensive to senses or morals,that you need to get away from the subject at hand
Lonely,"A painful sense of disconnection from others, even when people may be around.","hollowness in chest, aching disconnection, stillness","sad eyes, slight frown, distant or downward gaze",social isolation or feeling unseen by others,that you need affection or friendship from others
Vulnerable,"Feeling emotionally exposed and at risk of being hurt, judged, or rejected.","openness, slight trembling, exposed feeling in chest","soft eyes, slightly open mouth, tentative expression","emotional risk, intimacy, or perceived exposure","that you feel too open, or wish to express that emotional vulnerability to someone you trust"
